source_id,category,title,authors,year,period_market,definition_or_method,key_result,limitation,url,accessed
S01,학술-모멘텀,Returns to Buying Winners and Selling Losers,Jegadeesh & Titman,1993,"1965-1989; NYSE/AMEX","3-12개월 과거수익 순위 롱숏","대표 6x6 전략 약 1%/월","비용 전 롱숏; 눌림 진입 직접 검증 아님",https://doi.org/10.1111/j.1540-6261.1993.tb04702.x,2026-08-30
S02,학술-모멘텀,Momentum Crashes,Daniel & Moskowitz,2016,"1927-2013; 미국 주식","12개월 모멘텀과 시장상태","약세장 직후 급반등기에 모멘텀 급락 집중","롱온리 눌림과 동일하지 않음",https://doi.org/10.1016/j.jfineco.2015.12.002,2026-08-30
S03,학술-추세,Time Series Momentum,Moskowitz Ooi & Pedersen,2012,"1985-2009; 58개 선물/통화","12개월 초과수익 부호로 롱숏","자산군 전반 1-12개월 수익 지속","개별주 눌림·거래량·Trigger 없음",https://doi.org/10.1016/j.jfineco.2011.11.003,2026-08-30
S04,학술-추세,Time Series Momentum and Volatility Scaling,Kim Tse & Wald,2016,"1985-2009; 55개 선물","변동성 조정/비조정 TSMOM 분해","보고 알파 상당 부분이 변동성 조정에서 발생","개별주 전략 아님",https://doi.org/10.1016/j.finmar.2016.05.003,2026-08-30
S05,학술-추세,A Century of Evidence on Trend-Following Investing,Hurst Ooi & Pedersen,2017,"1880-2016; 67개 글로벌 시장","1·3·12개월 추세 결합; 변동성 목표","모든 10년 구간 평균 양의 성과","역사 재구성; 개별주 눌림 검증 아님",https://doi.org/10.3905/jpm.2017.44.1.015,2026-08-30
S06,학술-신고가,The 52-Week High and Momentum Investing,George & Hwang,2004,"1963-2001; 미국 CRSP","가격/52주고가 순위; 6·12개월 보유","신고가 근접도가 미래수익을 설명","눌림 깊이·기간·재개 신호 없음",https://doi.org/10.1111/j.1540-6261.2004.00695.x,2026-08-30
S07,학술-신고가,The 52-Week High Momentum Strategy in International Stock Markets,Liu Liu & Ma,2011,"20개국; 한국 1987-2006","52주고가 근접 상·하위 30%; 6개월 보유","한국 월 -0.22% 비유의; 비용 후 대부분 약화","신고가 후 눌림 전략은 아님",https://doi.org/10.1016/j.jimonfin.2010.08.004,2026-08-30
S08,학술-신고가,The 52-Week High and Momentum Investing in International Stock Indexes,Du,2008,"1969-2004; 18개 선진국 지수","국가지수 신고가 근접도","약 0.62%/월; 비용이 1/2~2/3 감소","국가지수라 개별주 이전 한계",https://doi.org/10.1016/j.qref.2007.02.001,2026-08-30
S09,학술-거래량,Trading Volume and Serial Correlation in Stock Returns,Campbell Grossman & Wang,1993,"1962-1988; 미국 지수·대형주","수익률과 NYSE 회전율","고거래량일수록 다음날 자기상관 감소","눌림 거래량 감소 명제를 직접 지지하지 않음",https://www.nber.org/papers/w4193,2026-08-30
S10,학술-거래량,Price Momentum and Trading Volume,Lee & Swaminathan,2000,"1965-1995; NYSE/AMEX","모멘텀 10분위 x 회전율 3분위","거래량이 모멘텀 생애주기를 예측","조정/상승 구간 거래량비율은 아님",https://doi.org/10.1111/0022-1082.00280,2026-08-30
